user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
233,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Ginásio
234,25 - 30,White/Caucasian,M,Master’s Degree,Leiria,Portugal,
235,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
236,25 - 30,White/Caucasian,M,Master’s Degree,Setúbal,Portugal,
237,31 - 40,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,
238,41 - 50,White/Caucasian,M,Doctorate Degree,Lisboa,Portugal,Padel
239,51 - 60,White/Caucasian,F,High School,Lisboa,Portugal,
240,51 - 60,White/Caucasian,F,High School,Lisboa,Portugal,
241,51 - 60,White/Caucasian,F,High School,Lisboa,Portugal,
242,51 - 60,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
243,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
244,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
245,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
246,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
247,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
248,31 - 40,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,
249,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
250,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
251,51 - 60,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,
252,25 - 30,Middle Eastern or North African,F,Master’s Degree,Lisboa,Portugal,
253,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,Voleibol
254,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
255,51 - 60,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,
256,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,Escrita
257,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
258,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
259,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
260,18 - 24,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
261,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Setúbal,Portugal,
262,25 - 30,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
263,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
264,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
265,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
266,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,
267,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Futebol
268,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
269,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,Escrita Criativa
270,18 - 24,White/Caucasian,M,Master’s Degree,Vila Real,Portugal,
271,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
272,25 - 30,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
273,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
274,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,
275,18 - 24,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,Marchas populares e tuna
276,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
277,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
278,18 - 24,Prefer not to disclose,F,High School,Lisboa,Portugal,
279,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
280,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
281,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
282,61 - 70,Latino,M,Bachelor’s Degree,Lisboa,Portugal,
283,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
284,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,
285,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
286,25 - 30,Latino,F,Bachelor’s Degree,Lisboa,Portugal,Volei
287,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,Escrita
288,31 - 40,Latino,M,Bachelor’s Degree,Rio de Janeiro,Brazil,
289,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
