id,age,populational_aff,gender,education,city,country_residence,date_survey,consented,hobby_other
238,41 - 50,White/Caucasian,M,Doctorate Degree,Lisboa,Portugal,2025-03-27 23:38:31,1,Padel
239,51 - 60,White/Caucasian,F,High School,Lisboa,Portugal,2025-03-27 23:57:29,1,
240,51 - 60,White/Caucasian,F,High School,Lisboa,Portugal,2025-03-28 00:13:00,1,
241,51 - 60,White/Caucasian,F,High School,Lisboa,Portugal,2025-03-28 05:14:04,1,
242,51 - 60,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2025-03-28 08:26:36,1,
243,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-03-28 11:25:29,1,
244,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-05-06 11:48:18,1,
245,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-05-06 11:52:37,1,
246,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-05-06 11:58:45,1,
247,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-06 12:38:57,1,
248,31 - 40,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,2025-05-13 13:48:43,1,
249,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-05-14 10:44:10,1,
250,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-14 18:20:16,1,
251,51 - 60,White/Caucasian,F,Doctorate Degree,Lisboa,Portugal,2025-05-19 15:17:56,1,
252,25 - 30,Middle Eastern or North African,F,Master’s Degree,Lisboa,Portugal,2025-05-19 20:16:34,1,
253,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 08:17:26,1,Voleibol
254,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2025-05-20 08:18:53,1,
255,51 - 60,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 08:27:50,1,
256,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 08:32:03,1,Escrita
257,31 - 40,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-05-20 08:38:32,1,
258,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 08:42:35,1,
259,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 08:51:00,1,
260,18 - 24,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 08:52:40,1,
261,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Setúbal,Portugal,2025-05-20 09:31:17,1,
262,25 - 30,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2025-05-20 09:33:38,1,
263,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 09:54:06,1,
264,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:04:29,1,
265,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:07:33,1,
266,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2025-05-20 10:19:24,1,
267,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:20:16,1,Futebol
268,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-05-20 10:32:41,1,
269,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:36:57,1,Escrita Criativa
270,18 - 24,White/Caucasian,M,Master’s Degree,Vila Real,Portugal,2025-05-20 10:41:25,1,
271,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:48:37,1,
272,25 - 30,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2025-05-20 10:52:10,1,
273,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:52:24,1,
274,18 - 24,Prefer not to disclose,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 10:56:08,1,
275,18 - 24,White/Caucasian,F,Master’s Degree,Setúbal,Portugal,2025-05-20 10:56:11,1,Marchas populares e tuna
